date,date_posted,text,Subjectivity,Polarity,Analysis
2020-10-09 23:46:00,1 hour ," pretty incredible how many people on this board believe that this stock will forever go higher. musk himself has repeatedly stated the stock is overvalued and tesla even recently sold shares. im not a hater of this company or musk, i do think its remarkable what theyve tesla has achieved. however, the current valuation is priced beyond perfection into the realm of world domination. every established car company on the world will soon be direct competition. also, i dont see vertical integration as a good thing. the industry was that way and abandoned that model. it requires full production always in order to be profitable. the investments required to achieve the growth and integration will either dilute shareholders or add a debt burden that will force further needs to operator at full capacity.",0.5750000000000001,0.3458333333333334,Positive
2020-10-09 09:46:00,15 hours ," the best time to buy $tsla and $nio are around october and november. both companies are increasing their capacities in 2020 and will ramp up production in 2021. $nkla is still looking for a partner and their core business will be about making promises, delaying it and taking more investor money.",0.4,0.75,Positive
2020-10-09 23:55:00,51 minutes ," dark skies under threat. astronomers rely on dark skies, and many of the rest of us appreciate clear, dark skies. now the night sky is under threat from satellite megaconstellations like spacex's burgeoning starlink broadband network, researchers have stressed.",0.4166666666666667,0.03000000000000001,Positive
2020-09-10 00:46:00,30 days, aapl is a better safer way,0.5,0.5,Positive
2020-10-09 23:46:00,1 hour ," your wonderful president incited violence against the governor of michigan. then, instead of condemning the men who conspired to kill her, he attacked her instead. nov. 3rd can't come too soon.",0.5,0.5,Positive
2020-10-09 17:46:00,7 hours ," legally sanctioned full self driving (robo taxi) is what tesla is betting the farm on. to date they are collecting money for the promise of fsd. the robo taxi revenue stream can only be realized if it is legal to do so. lets get some opinions as to how this may roll out, and when. opinions?",0.4875,0.1875,Positive
2020-10-07 00:46:00,3 days , tesla can't be stopped & won't be stopped! thanks to all who shorted for the discount lol,0.44999999999999996,0.5,Positive
2020-10-09 21:46:00,3 hours , i invested in $esla just so i can be part of this chat,0.0,0.0,Neutral
2020-09-30 00:46:00,10 days , why would people continue to get burned shorting the future...its asinine,0.0,0.0,Neutral
2020-09-30 00:46:00,10 days ," ((( adp reported that private employers added 749,000 workers in september )))",0.375,0.0,Neutral
2020-10-05 00:46:00,5 days , fox reports all economic indicators up under trumps leadership and will continue if trump wins. anything contrary is fake news.,0.4666666666666666,0.0,Neutral
2020-10-06 00:46:00,4 days ," tsla always overreacts harder, so its falling to 300 territory tmr!",0.0,-0.125,Negative
2020-10-06 00:46:00,4 days , minimum wage paid bashers cant afford a tesla share with their minimum wage weekly paychecks. no wonder their so disgruntled,0.0,0.0,Neutral
2020-10-06 00:46:00,4 days , biden 16 points ahead of the trampa nationally,0.0,0.0,Neutral
2020-10-07 00:46:00,3 days ," greedy nancy polosi, killed our stimulus",0.0,-0.2,Negative
2020-10-07 00:46:00,3 days ," as stimulus talks falter, the u.s. economy faces growth coming to a halt",0.0,0.0,Neutral
2020-10-07 00:46:00,3 days , is there hope for tesla? i got in at $445 and until now its way below. ,0.0,0.0,Neutral
2020-10-08 00:46:00,2 days ," dow gives up 155-point gain, turns negative after pelosi rejects idea of smaller airline aid package",0.45,-0.15,Negative
2020-10-08 00:46:00,2 days , honestly can anyone here imagine camilla harris as president ?? honestly i would puke,0.9,0.6,Positive
2020-10-08 00:46:00,2 days , guys is this a hold or sell ? is market expecting a big dump ?,0.1,0.0,Neutral
2020-10-08 00:46:00,2 days , big red a possibility,0.05,0.0,Neutral
2020-10-08 00:46:00,2 days , 47 years of nothing but now i have a plan folks. joe biden 2020,0.0,0.0,Neutral
2020-10-09 14:46:00,10 hours ," conley is the first president's physician who isn't a medical doctor, or md. he is an osteopathic doctor, or do.",0.16666666666666666,0.125,Positive
2020-10-09 17:46:00,7 hours , 95% of americans would be utterly baffled by bidens tax proposals: expert,1.0,0.0,Neutral
2020-10-09 18:46:00,6 hours ," think about your self not other people, biden will push more tesla up, who cares what party you want it, dont you rather make money?, i will vote for how ever increases my wealth, and not rep or dem i vote for the person not the party, stop being a follower, plus all that none sense of twitts manipulating the market enough is enough common, just my personal opinion, one day you will be awaken.",0.4458333333333333,0.043750000000000004,Positive
2020-10-09 20:46:00,4 hours , biden has robin hood syndrome. take from the rich and give to the poor (redistribution). that may work temporarily but eventually the rich run out of money and everything comes crashing down. common sense required here.,0.5777777777777777,-0.02111111111111112,Negative
2020-10-07 00:46:00,3 days , kamala about to get bodied.,0.0,0.0,Neutral
2020-10-07 00:46:00,3 days , kamala looks like a bufoon already.,0.0,0.0,Neutral
2020-10-07 00:46:00,3 days , wonder how long this rally can continue.... to me electric vehicles are not practical.. lots of projections but i dont want it,0.4,-0.05,Negative
2020-10-07 00:46:00,3 days , if joe biden loses does that mean he's not gonna tell us his rock solid plan to end corona virus ??,0.29583333333333334,-0.2041666666666667,Negative
2020-10-08 00:46:00,2 days , today should have been a good day for stocks but this democrat come out say something:,0.6000000000000001,0.7,Positive
2020-10-08 00:46:00,2 days , what happened today?,0.0,0.0,Neutral
2020-10-08 00:46:00,2 days ," if donald trump wins , like in 2016 .... how could anybody say another word about polls . he's down in every single poll ever invented ! he's also now down in vegas for the first time . 98% percent of all tv personalities hates his guts .... that includes fox ! i talk to hundreds of people a week and have run into about three people that are voting for joe biden . here in south east florida there are 1000's of trump signs and this is not his base .. gainsville and up is . someone is lying !!",0.3875661375661375,-0.13131613756613758,Negative
2020-10-08 00:46:00,2 days , anyone have any idea where that woman went who accused joe biden of a nasty assult ?? anyone ?? cause kamala harris said on tv she believed her ! not a joe biden fan at all .... but someone is lying ! one of them has to go to jail ! christine blasey ford said brett cavanagh pulled her hair in the sandbox in nursery school and got 20 years shaved off his life !,0.5,-0.578125,Negative
2020-10-08 00:46:00,2 days , thank you president trump for maga.,0.0,0.0,Neutral
2020-10-08 00:46:00,2 days , after last night...biden and harris should pack it up and go home...its over. trump/pence won2020/tesla strong and long,0.39999999999999997,0.12777777777777777,Positive
2020-10-08 00:46:00,2 days , trump needs to pass the stimulus package.,0.0,0.0,Neutral
2020-10-08 00:46:00,2 days , if you want to learn chinese and how to take a knee vote for biden. lol,0.35,0.4,Positive
2020-10-09 10:46:00,14 hours ," if you are a trump fan you should not buy tesla. think , he said buy american products and not from some where else., not china for sure. now, what car or just about anything else is made here not just assembled here.",0.4444444444444444,0.25,Positive
2020-10-09 16:46:00,8 hours ," this market is on fire since trump tweeted for single bill 1200$ pay check, is this money that important or what ?!!!!",0.6071428571428571,0.4525669642857143,Positive
2020-10-09 16:46:00,8 hours , trump is an orange man,0.0,0.0,Neutral
2020-10-09 14:46:00,10 hours , anyone have theories as to why the low 28 million volume?,0.3,0.0,Neutral
2020-10-09 14:46:00,10 hours , i wouldnt hold lessla over the weekend,0.0,0.0,Neutral
2020-10-09 21:46:00,3 hours , james comey can remember everything he has put in his book as if it happened yesterday...but when asked about the framing of president trump with a trump/russian connection by the obama administration and hillary clinton all of a sudden he gets amnesia. he cant recall anything even though documents are now being released that prove a criminal conspiracy that he was a part of. time for some democrats to go to prison. if it were you or i we would already be locked up.,0.525,-0.2,Negative
2020-10-09 21:46:00,3 hours , if i could ask one question to these presidential moderators it would be; did you pass a copy of the questionnaire to the liberal candidate? i bet ya it would be yes,0.0,0.0,Neutral
2020-10-09 19:46:00,5 hours ," u.s. top military brass fear war with china as it pushes its military weight around in the south china sea, india and taiwan. considering china and russia have military agreements...trump is smart to make russia a friend of the u.s. to the dismay of the leftist democratic party. china already said they were willing to use nukes in a confrontation with the u.s. over taiwan. what really worries our top militant brass is if we find ourselves fighting china, russia, iran and north korea at the same time believing thats one we cant win. china already has about 50 more navy ships than we do fueled by americans buying chinese products. china joe will allow chinas military to get even stronger. by the way...no need to tell me that we spend more money than anyone on our military. common sense tells me thats because we have military bases around the world. i believe it was rand paul that said it costs us about a trillion dollars a year to maintain those bases. ronald reagans motto was peace through strength. trump will stop chinas threatening military build up. biden will add to it. voye trump for a more safer and secure future. tesla strong and long.",0.3448412698412698,0.1540674603174603,Positive
2020-10-09 22:46:00,2 hours , $500 to $800 in no time again i feel it coming soon. many reasons we could even get back again to $1000s in no time.,0.25,0.25,Positive
2020-10-09 14:46:00,10 hours ," 500 calls oct23 best bougth right now or in the money also, this will gap up next 2 weeks",0.2785714285714285,0.42857142857142855,Positive
2020-10-09 22:46:00,2 hours , can congress change the law so that trump be the king of usa forever like putin?,0.0,0.0,Neutral
2020-10-09 19:46:00,5 hours , why is yahoo news so one sided. arent the news outlets supposed to be objective in their reporting. you can tell their bias against the trump on the first paragraph. thats when i usually stop reading. its really sad that they couldnt learn from walter cronkite and his style of objective reporting,0.3566666666666667,-0.1,Negative
2020-10-09 14:46:00,10 hours , tsla==garbage!,0.0,0.0,Neutral
2020-10-09 21:46:00,3 hours , peter the piper is the last idiot left on the board tonight,0.2888888888888889,-0.26666666666666666,Negative
2020-10-09 12:46:00,12 hours ," what is a comparable example of tech bubble to long term success? how about intel. in 2000, intel practically owned the entire cpu market. they had about 97%. their stock price was around $48.",0.3416666666666666,0.08333333333333333,Positive
2020-10-09 21:46:00,3 hours , when will the s&p committee meet again? is it monthly?,0.0,0.0,Neutral
2020-10-09 20:46:00,4 hours , the clown is gone,0.0,0.0,Neutral
2020-10-09 18:46:00,6 hours , now they told me to pick a woman of color. and i did. i keep to my promises. lets just look past the last 47 years.... vote! joe biden 2020,0.15833333333333333,-0.125,Negative
2020-10-09 19:46:00,5 hours ," can donald pull another upset and defeat uber libs ? that will make bernie dorx insane. mini lenin, boogerberg, nadhezda krupskaya cortez and fogey would go crazyyyyyyyy !!!!!!!!!",1.0,-1.0,Negative
2020-10-09 19:46:00,5 hours , i just found the answer to trump not wanting to show his tax file. he received money from kim jong of north korea,0.0,0.0,Neutral
2020-10-09 11:46:00,13 hours , were painting the us blue nov 3 baby,0.1,0.0,Neutral
2020-10-09 11:46:00,13 hours , this has become a very boring stock  ,1.0,-1.0,Negative
2020-10-08 00:46:00,2 days , true catholics dont support abortion unlike kamala harris. in the bible god refers to it as the shedding of innocent blood. how much more innocent can the blood of a baby be? the bible says god knew you while you were being formed in the womb. no one would argue that a woman has the right to do with her body as she sees fit. pro-lifers are concerned about saving the life of the other body...the baby. the abortion issue would go away if women would take more responsibility not to get pregnant as they used to instead of using abortion as birth control. choose life...after all your mother did.,0.540079365079365,0.36044973544973546,Positive
2020-10-08 00:46:00,2 days ," tesla, will dominate the ev market, and thrive with, or  without a ""trump"" !!!!",0.0,0.0,Neutral
2020-10-09 10:46:00,14 hours ," tesla, im fed up with your behavior. you have been at 400 - 445 for weeks.",0.0,0.0,Neutral
